,pl_name,hostname,tic_id,gaia_id,sy_snum,sy_pnum,sy_mnum,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,has_two_min
3055,K2-123 b,K2-123,TIC 197249801,Gaia DR2 685065155072248192,1,1,0,Published Candidate,0,30.96028326,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.02,-0.02,0.0,0.6,0.02,-0.02,0.0,4.64,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h57m46.59s,134.4441404,+21d27m11.79s,21.453274800000003,161.555,0.652,-0.652,13.1214,0.007363600000000001,-0.007363600000000001,False
3063,K2-124 b,K2-124,TIC 197221381,Gaia DR2 686230534318440960,1,1,0,Published Confirmed,0,6.413651,3.6e-05,-3.1e-05,0.0,0.049,0.002,-0.002,0.0,2.9,0.1,-0.1,0.0,0.259,0.009000000000000001,-0.009000000000000001,0.0,,,,,,,,,,,,,442.0,17.0,-17.0,0.0,0.39,0.02,-0.01,0.0,0.39,0.01,-0.04,0.0,4.86,0.01,-0.09,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h54m33.85s,133.6410515,+23d07m58.62s,23.132950899999997,140.385,1.32,-1.296,14.2787,0.0074632000000000006,-0.0074632000000000006,False
3070,K2-125 b,K2-125,TIC 405673618,Gaia DR2 3606324613561098368,1,1,0,Published Confirmed,0,21.750264,0.00199,-0.001957,0.0,0.121,0.004,-0.005,0.0,2.18,0.19,-0.18,0.0,0.19399999999999998,0.017,-0.016,0.0,,,,,,,,,0.08,0.161049,-0.066906,0.0,,,,,0.4,0.03,-0.03,0.0,0.49,0.05,-0.06,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h36m34.05s,204.1418754,-14d56m52.15s,-14.947819500000001,124.156,0.83,-0.83,14.027,0.0074982,-0.0074982,False
3071,K2-126 b,K2-126,TIC 422349422,Gaia DR2 3606785098479012864,1,1,0,Published Candidate,0,7.38795716,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,0.05,-0.07,0.0,0.67,0.1,-0.08,0.0,4.61,0.1,-0.11,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h34m11.21s,203.5467021,-13d34m37.09s,-13.576970499999998,102.953,0.777,-0.766,11.6297,0.0063,-0.0063,False
3078,K2-127 b,K2-127,TIC 187309502,Gaia DR2 3613472293839371136,1,1,0,Published Confirmed,0,3.588163,2.8e-05,-2.9e-05,0.0,0.0411,0.0002,-0.0002,0.0,8.37,0.33,-0.33,0.0,0.747,0.028999999999999998,-0.028999999999999998,0.0,,,,,,,,,,,,,809.0,15.0,-15.0,0.0,0.66,0.01,-0.01,0.0,0.72,0.01,-0.01,0.0,4.65,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h48m18.79s,207.0782895,-11d35m20.36s,-11.588987800000002,709.999,20.526,-19.423,14.1986,0.0083,-0.0083,False
3083,K2-128 b,K2-128,TIC 677945,Gaia DR2 3618386664139093504,1,1,0,Published Confirmed,0,5.675819,0.000411,-0.000414,0.0,0.056,0.002,-0.002,0.0,1.42,0.16,-0.13,0.0,0.127,0.013999999999999999,-0.012,0.0,,,,,,,,,0.23,0.22022199999999997,-0.19371,0.0,,,,,0.78,0.08,-0.06,0.0,0.71,0.07,-0.07,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h37m45.04s,204.4376666,-08d35m49.51s,-8.5970858,114.637,0.93,-0.915,11.5155,0.0061,-0.0061,False
3086,K2-129 b,K2-129,TIC 2468648,Gaia DR2 6769308026926349056,1,1,0,Published Candidate,0,8.23981,0.0003,-0.00035,0.0,,,,,0.6609999999999999,0.09,-0.249,0.0,0.059000000000000004,0.008,-0.022000000000000002,0.0,,,,,,,,,,,,,,,,,0.21,0.03,-0.08,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m35.65s,289.1485491,-25d38m46.76s,-25.646323300000002,27.7957,0.0746,-0.0742,11.2323,0.0074232,-0.0074232,False
3088,K2-13 b,K2-13,TIC 363479723,Gaia DR2 3811032513054107648,1,1,0,Published Candidate,0,40.062771,,,0.0,,,,,2.29,,,0.0,0.204,,,0.0,,,,,,,,,,,,,,,,,0.88,,,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h20m37.31s,170.1554763,+02d30m09.91s,2.5027534,342.394,4.436,-4.326,12.2692,0.0069,-0.0069,False
3091,K2-130 b,K2-130,TIC 12181371,Gaia DR2 4083382672829717504,1,1,0,Published Confirmed,0,2.494161,0.000123,-0.000122,0.0,,,,,1.062,0.11800000000000001,-0.091,0.0,0.095,0.011000000000000001,-0.008,0.0,,,,,,,,,,,,,,,,,0.64,0.02,-0.02,0.0,0.68,0.02,-0.02,0.0,4.62,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h21m04.93s,290.27054189999996,-19d41m27.15s,-19.6908744,118.011,0.519,-0.514,11.6011,0.0061,-0.0061,False
3094,K2-131 b,K2-131,TIC 176868951,Gaia DR2 3580920878437938688,1,1,0,Published Confirmed,0,0.369311,8e-06,-9e-06,0.0,,,,,1.7619999999999998,0.223,-0.128,0.0,0.157,0.02,-0.011000000000000001,0.0,,,,,,,,,,,,,,,,,0.77,0.03,-0.03,0.0,0.8,0.03,-0.03,0.0,4.5,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h11m00.34s,182.751404,-09d45m54.86s,-9.7652392,152.509,1.079,-1.063,11.3328,0.0061,-0.0061,False
3099,K2-132 b,K2-132,TIC 152852327,Gaia DR2 3582339626395387264,1,1,0,Published Confirmed,0,9.173866,0.001534,-0.001426,0.0,,,,,6.865,0.889,-0.69,0.0,0.612,0.079,-0.062,0.0,,,,,,,,,,,,,,,,,2.16,0.26,-0.2,0.0,0.98,0.07,-0.04,0.0,3.8,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h08m39.90s,182.1662666,-08d44m49.98s,-8.7472172,609.818,17.942,-16.962,11.0295,0.0073,-0.0073,False
3103,K2-133 b,K2-133,TIC 150096001,Gaia DR2 148080473682357376,1,4,0,Published Confirmed,0,3.0712,0.0001,-0.0001,0.0,0.033,0.002,-0.002,0.0,1.31,0.08,-0.08,0.0,0.11699999999999999,0.006999999999999999,-0.006999999999999999,0.0,,,,,,,,,,,,,,,,,0.47,0.03,-0.03,0.0,0.51,0.03,-0.03,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h40m35.85s,70.1493775,+25d00m35.33s,25.0098135,75.1703,0.2012,-0.2012,12.3252,0.007404000000000001,-0.007404000000000001,False
3110,K2-136 b,K2-136,TIC 18310799,Gaia DR2 145916050683920128,2,3,0,Published Confirmed,0,7.975292,0.000833,-0.00077,0.0,,,,,0.99,0.06,-0.04,0.0,0.08800000000000001,0.005,-0.004,0.0,,,,,,,,,0.1,0.19,-0.07,0.0,553.0,17.0,-27.0,0.0,0.66,0.02,-0.02,0.0,0.74,0.02,-0.02,0.0,4.66,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h29m39.09s,67.4128615,+22d52m57.24s,22.8825674,59.2474,0.1877,-0.1865,10.1192,0.006,-0.006,False
3117,K2-137 b,K2-137,TIC 98720702,Gaia DR2 3583729340372873344,1,1,0,Published Confirmed,0,0.179715,1e-06,-1e-06,0.0,0.0058,0.0006,-0.0006,0.0,0.89,0.09,-0.09,0.0,0.079,0.008,-0.008,0.0,158.915,,,1.0,0.5,,,1.0,0.0,,,0.0,1471.0,47.0,-47.0,0.0,0.44,0.04,-0.04,0.0,0.46,0.05,-0.05,0.0,4.82,0.04,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h27m28.90s,186.870426,-06d11m42.78s,-6.1952168,98.8765,0.6176,-0.6101,13.2396,0.007409699999999999,-0.007409699999999999,False
3119,K2-138 b,K2-138,TIC 4610830,Gaia DR2 2413596935442139520,1,6,0,Published Confirmed,0,2.35321,0.00037,-0.00036,0.0,0.0338,0.0034,-0.0031,0.0,1.49,0.15,-0.14,0.0,0.133,0.013000000000000001,-0.012,0.0,,,,,,,,,,,,,1157.0,78.0,-74.0,0.0,0.84,0.05,-0.05,0.0,0.92,0.08,-0.1,0.0,4.54,0.09,-0.16,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h15m47.77s,348.9490311,-10d50m59.06s,-10.8497391,202.585,2.028,-1.989,11.5018,0.0068,-0.0068,False
3136,K2-139 b,K2-139,TIC 11023038,Gaia DR2 4084602654011029376,1,1,0,Published Candidate,0,28.382206,0.000318,-0.000318,0.0,,,,,9.5,0.6,-0.5,0.0,0.85,0.05,-0.04,0.0,,,,,,,,,,,,,,,,,0.93,,,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m16.01s,289.066707,-17d54m38.57s,-17.9107147,153.856,0.932,-0.921,10.9139,0.0062,-0.0062,False
3141,K2-14 b,K2-14,TIC 366683184,Gaia DR2 3892632287473304064,1,1,0,Published Candidate,0,8.3688168,,,0.0,,,,,6.65,,,0.0,0.593,,,0.0,,,,,,,,,,,,,,,,,0.56,,,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h52m13.65s,178.05687450000002,+02d35m38.84s,2.5941222,364.048,8.099,-8.099,14.611,0.0074056,-0.0074056,False
3146,K2-140 b,K2-140,TIC 380255458,Gaia DR2 3579426053724051584,1,1,0,Published Confirmed,0,6.56918,4e-05,-4e-05,0.0,0.0687,0.0005,-0.0005,0.0,12.25,0.17,-0.17,0.0,1.093,0.015,-0.015,0.0,,,,,,,,,,,,,957.0,11.0,-11.0,0.0,0.99,0.01,-0.01,0.0,1.0,0.02,-0.02,0.0,4.45,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h32m32.96s,188.13731719999998,-09d36m27.40s,-9.6076115,347.917,8.287,-7.917,12.0213,0.006,-0.006,False
3150,K2-141 b,K2-141,TIC 301235044,Gaia DR2 2643952940813536768,1,2,0,Published Confirmed,0,0.2803244,1.5e-06,-1.5e-06,0.0,,,,,1.51,0.05,-0.05,0.0,0.135,0.004,-0.004,0.0,5.08,0.41,-0.41,0.0,0.01598,0.0012900000000000001,-0.0012900000000000001,0.0,0.0,,,0.0,,,,,0.68,0.02,-0.02,0.0,0.71,0.03,-0.03,0.0,4.62,0.02,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h23m40.09s,350.91704639999995,-01d11m21.06s,-1.1891827,61.8736,0.1662,-0.1654,10.0298,0.006,-0.006,False
3154,K2-146 b,K2-146,TIC 175261852,Gaia DR2 661192902209491456,1,2,0,Published Confirmed,0,2.644661,0.000132,-0.00013,0.0,0.0259,0.0002,-0.0002,0.0,2.15,0.86,-0.86,0.0,0.192,0.077,-0.077,0.0,,,,,,,,,,,,,534.0,10.0,-10.0,0.0,0.33,0.01,-0.01,0.0,0.33,0.01,-0.01,0.0,4.92,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h40m06.41s,130.02669509999998,+19d05m32.43s,19.0923416,79.3002,0.478,-0.4723,13.7247,0.007379600000000001,-0.007379600000000001,False
3165,K2-147 b,K2-147,TIC 398275886,Gaia DR2 6764974194470777600,1,1,0,Published Confirmed,0,0.961917,2.6e-05,-2.6e-05,0.0,0.0159,0.0005,-0.0005,0.0,1.38,0.17,-0.15,0.0,0.12300000000000001,0.015,-0.013000000000000001,0.0,,,,,,,,,,,,,,,,,0.55,0.06,-0.06,0.0,0.58,0.06,-0.06,0.0,4.72,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h35m19.93s,293.8330329,-28d29m54.51s,-28.498475,90.5494,0.2767,-0.275,12.1427,0.0073057,-0.0073057,False
3168,K2-148 b,K2-148,TIC 423358488,Gaia DR2 2536443724641751808,2,3,0,Published Confirmed,0,4.38395,0.0008,-0.0008,0.0,0.0454,0.0014,-0.0014,0.0,1.33,0.19,-0.18,0.0,0.11900000000000001,0.017,-0.016,0.0,,,,,,,,,,,,,,,,,0.63,0.06,-0.06,0.0,0.65,0.06,-0.06,0.0,4.65,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h58m04.24s,14.5176494,-00d11m35.73s,-0.19325799999999999,124.458,0.626,-0.619,12.2481,0.0062,-0.0062,False
3174,K2-149 b,K2-149,TIC 429035886,Gaia DR2 2557342829345854208,1,1,0,Published Confirmed,0,11.332,0.0013,-0.0013,0.0,0.083,0.0027,-0.0027,0.0,1.64,0.2,-0.18,0.0,0.146,0.018000000000000002,-0.016,0.0,,,,,,,,,,,,,,,,,0.57,0.06,-0.06,0.0,0.59,0.06,-0.06,0.0,4.71,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h39m17.22s,9.8217519,+07d16m37.18s,7.2769939,123.676,0.543,-0.539,12.7422,0.0072646,-0.0072646,False
3175,K2-15 b,K2-15,TIC 366696612,Gaia DR2 3896271842760486272,1,1,0,Published Candidate,0,11.808398,,,0.0,,,,,3.1,,,0.0,0.27699999999999997,,,0.0,,,,,,,,,,,,,,,,,0.76,,,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h52m26.54s,178.11057409999998,+04d15m16.79s,4.254664900000001,493.992,9.0765,-9.0765,13.8622,0.0066,-0.0066,False
3179,K2-150 b,K2-150,TIC 376879419,Gaia DR2 2579495171146737280,1,1,0,Published Confirmed,0,10.59357,0.00084,-0.00084,0.0,0.0727,0.0027,-0.0027,0.0,2.0,0.27,-0.21,0.0,0.17800000000000002,0.024,-0.019,0.0,,,,,,,,,,,,,,,,,0.44,0.04,-0.04,0.0,0.46,0.05,-0.05,0.0,4.82,0.04,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h13m22.65s,18.3443908,+08d59m14.76s,8.9874328,102.483,0.802,-0.789,13.6157,0.0074923,-0.0074923,False
3181,K2-151 b,K2-151,TIC 376936928,Gaia DR2 2579620343673729408,2,1,0,Published Candidate,0,3.835376,0.000264,-0.000253,0.0,,,,,1.5,0.4,-0.3,0.0,0.13,0.04,-0.03,0.0,,,,,,,,,,,,,,,,,0.45,,,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h17m13.15s,19.3047733,+09d30m04.56s,9.5012663,69.4798,0.1524,-0.1517,12.2448,0.0073438,-0.0073438,False
3185,K2-152 b,K2-152,TIC 56754291,Gaia DR2 3596508242468505216,1,1,0,Published Confirmed,0,32.6479,0.01141,-0.01483,0.0,0.1716,0.0012,-0.0012,0.0,2.29,0.25,-0.24,0.0,0.204,0.022000000000000002,-0.021,0.0,,,,,,,,,,,,,337.0,3.0,-3.0,0.0,0.61,0.01,-0.01,0.0,0.63,0.01,-0.01,0.0,4.67,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h06m31.78s,181.6324078,-05d49m38.75s,-5.827431099999999,108.449,0.414,-0.411,12.1016,0.0072806,-0.0072806,False
3187,K2-153 b,K2-153,TIC 397056271,Gaia DR2 3700937760929835648,1,1,0,Published Confirmed,0,7.51554,0.00098,-0.00098,0.0,0.0601,0.0021,-0.0021,0.0,2.0,0.26,-0.22,0.0,0.17800000000000002,0.023,-0.02,0.0,,,,,,,,,,,,,,,,,0.49,0.05,-0.05,0.0,0.51,0.06,-0.06,0.0,4.76,0.04,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h15m14.13s,183.80887090000002,+02d01m15.16s,2.0208765,143.125,0.915,-0.903,13.2766,0.0072949,-0.0072949,False
3189,K2-154 b,K2-154,TIC 175371068,Gaia DR2 3683121446312149504,1,2,0,Published Confirmed,0,3.67635,0.00017,-0.00017,0.0,0.0408,0.0012,-0.0012,0.0,2.23,0.37,-0.24,0.0,0.19899999999999998,0.033,-0.021,0.0,,,,,,,,,,,,,,,,,0.65,0.07,-0.07,0.0,0.67,0.06,-0.06,0.0,4.64,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h36m00.36s,189.00151730000002,-02d40m10.64s,-2.6696217,129.356,0.445,-0.445,12.3813,0.0073152,-0.0073152,False
3193,K2-155 b,K2-155,TIC 17307715,Gaia DR2 145333927996558976,1,3,0,Published Confirmed,0,6.342,0.002,-0.002,0.0,0.0562,0.0013,-0.0014,0.0,1.8,0.2,-0.1,0.0,0.161,0.018000000000000002,-0.009000000000000001,0.0,,,,,,,,,,,,,708.0,38.0,-31.0,0.0,0.58,0.06,-0.03,0.0,0.65,0.06,-0.03,0.0,4.6,0.3,-0.3,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h21m52.71s,65.469614,+21d21m11.75s,21.353263300000002,72.7998,0.2864,-0.2841,11.4529,0.006,-0.006,False
3199,K2-156 b,K2-156,TIC 176868262,Gaia DR2 3596250888028092160,1,1,0,Published Confirmed,0,0.813143,7.7e-05,-7.7e-05,0.0,,,,,1.1,0.09,-0.06,0.0,0.098,0.008,-0.005,0.0,,,,,,,,,,,,,,,,,0.62,0.02,-0.02,0.0,,,,,4.7,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h10m47.92s,182.699673,-06d17m39.68s,-6.2943552,150.21,1.085,-1.069,12.2048,0.0061,-0.0061,False
3202,K2-157 b,K2-157,TIC 349445372,Gaia DR2 3596333042162818304,1,1,0,Published Confirmed,0,0.365257,2.9e-05,-2.9e-05,0.0,,,,,1.055,0.147,-0.098,0.0,0.094,0.013000000000000001,-0.009000000000000001,0.0,,,,,,,,,,,,,,,,,0.88,0.05,-0.03,0.0,0.94,0.02,-0.03,0.0,4.55,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h15m00.36s,183.7514959,-05d46m55.26s,-5.7820178,298.373,4.59,-4.455,12.1305,0.0064,-0.0064,False
3204,K2-158 b,K2-158,TIC 35021200,Gaia DR2 3596003497911958528,1,2,0,Published Confirmed,0,10.062106,0.00227,-0.002228,0.0,,,,,2.635,0.34600000000000003,-0.21899999999999997,0.0,0.235,0.031,-0.02,0.0,,,,,,,,,,,,,,,,,0.89,0.07,-0.04,0.0,0.93,0.03,-0.03,0.0,4.46,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h59m45.53s,179.9397081,-05d43m18.08s,-5.7216879,197.299,2.061,-2.02,11.1171,0.006,-0.006,False
3207,K2-159 b,K2-159,TIC 35064295,Gaia DR2 3600851450836925312,1,1,0,Published Confirmed,0,12.42205,0.0018,-0.00182,0.0,0.1013,0.0008,-0.0009,0.0,2.26,0.17,-0.11,0.0,0.20199999999999999,0.015,-0.01,0.0,,,,,,,,,,,,,684.0,8.0,-8.0,0.0,0.83,0.01,-0.01,0.0,0.9,0.02,-0.03,0.0,4.56,0.01,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h02m09.81s,180.54088959999999,-03d34m51.26s,-3.5809053,170.998,1.424,-1.402,11.1353,0.0061,-0.0061,False
3219,K2-160 b,K2-160,TIC 349456525,Gaia DR2 3598004677793811584,1,1,0,Published Confirmed,0,3.705871,7.4e-05,-7.6e-05,0.0,,,,,3.178,0.214,-0.145,0.0,0.284,0.019,-0.013000000000000001,0.0,,,,,,,,,,,,,,,,,0.91,0.04,-0.03,0.0,0.98,0.02,-0.03,0.0,4.61,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h16m13.08s,184.0545174,-03d33m11.12s,-3.5530888,315.363,4.512,-4.389,12.0799,0.0065,-0.0065,False
3220,K2-161 b,K2-161,TIC 349445839,Gaia DR2 3598019894861833856,1,1,0,Published Confirmed,0,9.283188,0.002052,-0.0023,0.0,,,,,6.117000000000001,1.633,-0.7829999999999999,0.0,0.546,0.146,-0.07,0.0,,,,,,,,,,,,,,,,,2.57,0.31,-0.25,0.0,0.99,0.08,-0.06,0.0,3.63,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h15m10.52s,183.7938491,-03d29m44.49s,-3.4956913,916.319,46.341,-46.341,11.751,0.0068,-0.0068,False
3221,K2-162 b,K2-162,TIC 94892940,Gaia DR2 3694878833385971840,1,1,0,Published Confirmed,0,9.457747,0.001401,-0.001392,0.0,,,,,1.486,0.168,-0.11900000000000001,0.0,0.133,0.015,-0.011000000000000001,0.0,,,,,,,,,,,,,,,,,0.73,0.02,-0.02,0.0,0.78,0.02,-0.03,0.0,4.71,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h24m09.21s,186.0383865,-01d06m41.32s,-1.111479,124.433,0.617,-0.61,11.3314,0.006,-0.006,False
3223,K2-163 b,K2-163,TIC 56760743,Gaia DR2 3697972721667206144,1,1,0,Published Confirmed,0,6.673117,0.000316,-0.000303,0.0,,,,,2.4659999999999997,0.257,-0.124,0.0,0.22,0.023,-0.011000000000000001,0.0,,,,,,,,,,,,,,,,,0.76,0.02,-0.01,0.0,0.83,0.02,-0.02,0.0,4.71,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h09m19.02s,182.3292517,-00d32m21.63s,-0.5393420999999999,208.529,4.248,-4.084,12.1703,0.0061,-0.0061,False
3224,K2-164 b,K2-164,TIC 173090902,Gaia DR2 3797456808626205696,1,1,0,Published Confirmed,0,17.355066,0.004097,-0.003808,0.0,,,,,3.2489999999999997,0.515,-0.413,0.0,0.29,0.046,-0.037000000000000005,0.0,,,,,,,,,,,,,,,,,2.2,0.31,-0.25,0.0,1.18,0.09,-0.06,0.0,3.81,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h27m44.08s,171.933659,-00d03m46.26s,-0.06284880000000001,375.67,7.713,-7.414,10.6964,0.0061,-0.0061,False
3227,K2-165 b,K2-165,TIC 149969625,Gaia DR2 3700016198387202304,1,3,0,Published Confirmed,0,2.354992,0.000246,-0.000261,0.0,,,,,1.274,0.145,-0.09699999999999999,0.0,0.114,0.013000000000000001,-0.009000000000000001,0.0,,,,,,,,,,,,,,,,,0.8,0.05,-0.03,0.0,0.83,0.03,-0.03,0.0,4.46,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h19m36.12s,184.90048810000002,+00d58m05.98s,0.968327,134.591,1.2,-1.178,10.7875,0.0063,-0.0063,False
3232,K2-167 b,K2-167,TIC 69747919,Gaia DR2 2594479109451475456,1,1,0,Published Confirmed,0,9.977481,0.001039,-0.001007,0.0,,,,,2.819,0.519,-0.45299999999999996,0.0,0.252,0.046,-0.04,0.0,,,,,,,,,,,,,,,,,1.83,0.29,-0.28,0.0,1.02,0.12,-0.09,0.0,3.88,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h26m18.27s,336.5761233,-18d00m41.99s,-18.011665,80.8994,0.4731,-0.4677,7.7275,0.006,-0.006,False
